title,body,category,tags,tag1,tag2
Law - Criminal Module 1 Assignment: Common Law Legal System," 
Overview:
For this assignment, you will prepare a creative deliverable that details the basic concepts of a common law legal system. You will be able to choose whichever format you wish for your deliverable.  Please follow the instructions below and be sure to follow APA formatting guidelines. 
 
Instructions:In Module 1, we learned about common law, which is the body of United States law developed through the courts.

For this assignment, you will create a deliverable of your choice (written document, infographic, PowerPoint, video, etc.) that communicates the information below. Did you know?? Communicating information in a creative format is a very useful skill for today's business professionals. See the attached handout to view resources that can assist you in creating some of these types of deliverables.

Explain the basic concepts of a common law legal system.
As part of your deliverable, be sure to include information addressing precedent and stare decisis


",Criminal,,,
executive summary,"original workk. 260 words single space
 Consider the Executive Summary as the Abstract for your portfolio. It may be the focal point during your employment review. Discuss how to prepare the Executive Summary. What are the important items to include in your summary? Are there any items you should not include in the summary? ",Management,summary,,
reply m,"“A 35-year-old white male with a history of morbid obesity with disabilities in rural setting”
In order to determine a patient's medical state, personal information must be gathered from them during a patient assessment, with an emphasis on their medical history, physical examination, and current illnesses.
An effective treatment depends on accurate patient data collected during an evaluation. In order to create a medical status that can accurately diagnose and treat health problems while utilizing medical jargon, clinicians must collect crucial pieces of patient history. Health information about a patient is fictitious data about their symptoms and interactions with doctors that is kept private and secret. The role of the physician in creating a health history for a 35-year-old Caucasian male with morbid obesity and impairments in a rural setting will be discussed in this study.
Communication and interview techniques for building a health history.
It's crucial to develop efficient communication in order to obtain an adequate health record. The patient in the conversation is a 35-year-old Caucasian male who lives in a rural region and has a history of morbid weight and handicap. Astute learning, the capacity to adapt to the patient's level of knowledge, empathy, the capacity to assess the patient's answers, the avoidance of medical jargon, and a leaning toward a particular religion or gender orientation are all qualities that the clinician must possess. To determine whether an interpretation is necessary, it is critical to understand the patient's kind and degree of disability as well as the type of communication modality that will be employed (Merker et al., 2021). Because each patient is different, everyone deserves a different evaluation. Social factors including age, gender, ethnicity, and environment all have an impact on how patients are interviewed in order to compile a thorough health history. To get accurate patient medical condition and information, building trust is crucial. It is crucial to establish effective contact with this patient in order to win his trust and accurately measure the effects of his health on both his health and his impairment as a result of the aforementioned causes.
Target your questions for building a health history.
The patient in the scenario is a person with morbid obesity and a disability, which helps to construct a medical status. The evaluation will be influenced by the type of disability, which will also determine the communication strategy to be utilized and whether a family member or interpreter has to be present throughout the interview. Instead of focusing just on lifestyle counseling and medical therapy, clinicians should focus on understanding the causes of a patient's health record, including social difficulties, and providing patient-centered care to effectively address a patient's condition (Shen et al., 2018). Depending on the patient's level of handicap, the targeted questions will be determined. The first step in compiling an accurate and thorough patient history and physical is efficient communication. For the best possible care, it is crucial to take a patient's socioeconomic determinants of health into account when conducting an interview. A patient who has a history of morbid obesity and impairment and lives in a remote area can ask: ""What obstacles do you have in getting the health care and treatment you need?"" The patient's orientation state must be ascertained by asking questions to obtain personal data such as date of birth, gender, and social position such as, ""Are you married?"" Who are your roommates? health insurance, physical environment, transportation, employment, and societal values are all factors. The establishing of a good connection between the therapist and the patient will be helped by these inquiries.
What kind of support would you receive from friends and family?
-How have you found your neighborhood?
What resources does your society have available?
What do you believe would make your life easier in terms of leading a healthier one?
What risk assessment instruments would be appropriate to use with each patient, or what questions would you ask each patient to assess his or her health risks?
Establishing the patient's trust and confidence is crucial when dealing with morbid obesity and handicap since it will help with communication, promote self-esteem, and give the patient the privacy he needs due to the psychological effects of obesity. paying great attention to the environmental and genetic factors that affect obesity. Obtaining information and facilitating assessments of his diet, interests, and behavioral changes, as well as inquiring about and comprehending his issues, are some helpful techniques. It is challenging to evaluate an obese patient due to the restrictions and changes in body composition from what is thought of as a normal weight. To determine his risk of heart disease, it is helpful to calculate his Body Mass Index (BMI) depending on his weight. When patients have enough data access and efficient diagnostic communications, they are best equipped to participate in their healthcare.
The instruments and questions listed below are general risk assessment tools that could be used with a variety of patients (Lloyd-Jones et al., 2019).
The Centers for Disease Control and Prevention (CDC)'s Behavioral Risk Factor Surveillance System (BRFSS) questionnaire asks about several health risks, including eating habits, physical activity level, and smoking behaviors.
The Heart Attack Risk Calculator from the American Heart Association (AHA) estimates a person's chance of suffering a heart attack during the following ten years.
Potential health-related risks based on the patient’s age, gender, ethnicity, or environmental setting.
Based on the patient's age, gender, ethnicity, and rural location, several health-related issues should be assessed. For instance, the patient's advanced age increases their vulnerability to illnesses including arthritis, heart disease, and cerebrovascular disease. The absence of medical care and/or the accessibility of emergency responders may also put the patient at a higher risk of suffering in a rural place (Ball et al., 2019).
In addition, the patient's gender and ethnicity may put them at a higher risk for developing illnesses. For instance, women are more likely than men to get arthritic, cardiovascular, and stroke conditions, while minorities are more likely to develop diabetes and high blood pressure.
Select one of the risk assessments instruments.
The patient in question is susceptible to a number of health issues, including diabetes, cardiovascular disease, and obesity. The patient would undoubtedly benefit from a health risk assessment by being informed of particular risk areas and how to reduce those risks. One such system of assessment is the Framingham Risk Score (Ball et al., 2019). Based on a person's age, gender, blood pressure, cholesterol, and smoking history, this tool estimates their 10-year chance of developing heart disease. A specific preventative strategy might be created based on the patient's risk. The Reynolds Risk Score, which forecasts the likelihood of having a stroke, and the Adult Treatment Panel III (ATP III), which assesses the likelihood of developing heart disease, are other risk assessment tools that could be helpful for this patient.
Develop at least five targeted questions you would ask your selected patient to assess his or her health risks and begin building a health history.
Do you live by yourself?
The answer to this question helps the clinician understand the patient's living situation and the dangers he or she may face if unable to care for themselves.
How do you commute or transfer?
Justification: The physician will learn about the dangers of transferring patients as well as the constraints that come with being obese and disabled.
How do you meet your daily needs, first?
The purpose of this question is to determine whether the patient needs assistance and who in the patient's family or social network is a source of support.
Are you in possession of an advance directive?
Knowing who the patient has designated to make decisions for him when he is unable to do so due to his health issue or disability is the justification.
 Do you find it difficult to seek medical care?
Because of his size and disabilities, getting to a doctor's appointment may be challenging. The clinician will do an assessment to see if the patient needs help scheduling appointments and arranging transportation to get medical care.
References
Ball, J. W., Dains, J. E., Flynn, J. A., Solomon, B. S., & Stewart, R. W. (2019). Seidel's Guide to Physical Examination: An Interprofessional Approach (9th ed.). St. Louis, MO: Elsevier Mosby.
Bickley, L. S., Szilagyi, P. G., Hoffman, R. M., & Soriano, R. P. (2020). Bates' Pocket Guide To Physical Examination And History Taking. Lippincott Williams & Wilkins.
Lloyd-Jones, D. M., Braun, L. T., Ndumele, C. E., Smith Jr, S. C., Sperling, L. S., Virani, S. S., & Blumenthal, R. S. (2019). Use of risk assessment tools to guide decision-making in the primary prevention of atherosclerotic cardiovascular disease: a special report from the American Heart Association and American College of Cardiology. Circulation, 139(25), e1162-e1177.
Merker, V. L., Plotkin, S. R., Charns, M. P., Meterko, M., Jordan, J. T., & Elwy, A. R. (2021). Effective provider-patient communication of a rare disease diagnosis: A qualitative study of people diagnosed with schwannomatosis. Patient Education and Counseling, 104(4), 808-
Shen, M. J., Peterson, E. B., Costas-Muñiz, R., Hernandez, M. H., Jewell, S. T., Matsoukas, K., & Bylund, C. L. (2018). The effects of race and racial concordance on patient-physician communication: a systematic review of the literature. Journal of Racial and Ethnic Health Disparities, 5(1), 117-140.
Reply",Nursing,reply,discussion,
reply M2,"NITIAL POST: COMPREHENSIVE HEALTH ASSESSMENT PATIENT #2
    The patient profile I have been assigned is a 35-year-old white male with a history of morbid obesity with disabilities in a rural setting. This is a new patient whom I am assuming I have never met before. The first step is to build a relationship with the patient, this fosters trust between the nurse and patient. “A primary objective is to discover the details about a patient’s concern, explore expectations for the encounter, and display genuine interest, curiosity, and partnership. Identifying underlying worries, believing them, and trying to address them optimizes your ability to be of help” (Ball, J. W., et al. 2019). A thorough health history is important as it lays the groundwork to not only build a relationship, but to efficiently diagnose a health issue or illness, and treat these health issues and illnesses. 
    Communication with this age group needs to include non-medical jargon so the patient will understand the information presented. Medical jargon can be used but needs to be followed up with what the medical term means. Open ended communication is important to use, this gives the patient the ability to “fill in the blanks” with pertinent information. For example, asking the patient why they came to see you today, what health concerns they want to talk about, and keeping the conversation going by asking if there is anything else they would like to talk about. This can be added numerous times during the assessment to keep the patient talking about issues they may have. 
    Information needs to complete a health assessment can include, past medical history, family medical history, social history, present medications, lifestyle considerations like alcohol, drug use, and smoking history. A head-to-toe assessment also needs to be completed to determine if there are any other issues needed to address. This patient would need education regarding lifestyle changes needed related to obesity. A referral to a dietary consultant may be needed if the patient is ready to make changes to their diet. Patients who reside in rural areas have less access to nutritious foods due to distance needed to get to a store where they can buy these foods. Many rural areas have quick marts where people can get fast food, not necessarily nutritious foods. 
    Obesity can cause many other health risks including HTN, Diabetes, Joint issues, difficulty breathing, Sleep Apnea, skin issues like yeast infections, wounds, and Stroke. Obese patients can also have trouble with ADLs as the inability to care for themselves is common due to decreased energy and inability to complete personal cares. This patient is noted to have disabilities; this can be related to joint issues and inability to ambulate, bend, reach, and general muscular and joint problems. 
    In relation to a risk assessment, I would use preventative care including personal history, laboratory screening tests to rule out Diabetes, Prostate Cancer, Hypercholesterolemia, Infection, and a Comprehensive Metabolic Panel to determine if the patient had any blood related abnormalities and determine if the patient had any problems with kidney or liver function. I would also determine if the patient had any issues with Alcohol, Tobacco, or drug use as use of these can lead to disease. In my communication with the patient regarding these issues I would be sure to tell him I ask all my patients these questions. Sullivan, D.D. (2019) states, “Approaching these matters in a nonjudgmental, professional, matter of fact manner should enhance patient disclosure of sensitive information.”
    Questions I would be sure to include in my health assessment:
1.    How are you feeling today?
2.    What would you like for us to do today?
3.    What do you think is causing your symptoms?
4.    What are your coping mechanisms when you feel sad, scared, or angry?
5.    Do you have people in your life whom you can talk to?
I feel it is important to not only assess a patient’s physical well-being, but to also assess if they are happy with their lives and feel heard, happy, and involved in their own care. 
References
Ball, J. W., Dains, J. E., Flynn, J. A., Solomon, B. S., & Stewart, R. W. (2019). Seidel's guide to physical examination: An interprofessional approach (9th ed.). 1(1-21). St. Louis, MO: Elsevier Mosby.
MediLexicon International. (n.d.). Morbid obesity: Symptoms, treatment, and outlook. Medical News Today. https://www.medicalnewstoday.com/articles/320460#complicationsLinks to an external site..
Sullivan, D. D. (2019). Guide to clinical documentation (3rd ed.). 2(19-29). Philadelphia, PA: F. A. Davis.",Nursing,reply,discussion,
Legal and Ethical Issues," 
Legal and Ethical Issues - Please read these directions carefully.  I am being very specific.  While you do have to share an article, I want this discussion to be relevant to the creation of your courses and that of your peers.  Research articles are of no value if they don't have a practical application.  
There are many ethical and legal issues surrounding the use of technology in an educational setting. This week, you will discuss some of these issues and consider how they might impact the development of your online course. Find a recent article in a peer-reviewed nursing or educational journal that discusses potential legal and ethical issues relevant to the use of technology in nursing education (focus on education, not practice). 

In one paragraph, describe a few highlights of the article, focusing on the most relevant information for you and your classmates to consider as you create your online courses.
Provide at least two ways that you will incorporate this information into your course design/content in a practical way. Be specific. 
",Nursing,Ethical,technology,
REPLY2 M,"According to Rosenthal & Burchum, 2022, the reaction of drugs in the body is described in two teams known as pharmacokinetics and pharmacodynamics. Pharmacokinetics is defined as the movement of the drug through the body, or how the body affects the drug. And pharmacodynamics is how the drug affects the body, or how the drug initiates a therapeutic or toxic effect in the body. There have been several times when I have given a drug and I experienced the desired outcome was not met. For this discussion, I have chosen to center my discussion on was a 75-year-old woman who was admitted to the hospital with pneumonia. She was started on a course of antibiotics, but she did not respond well to treatment. She continued to have fever, cough, and shortness of breath. The doctor ordered a blood test to check the patient's drug levels. The results showed that the patient's blood levels of the antibiotic were very low. This was because the patient's liver was not able to metabolize the drug as well as a younger person's liver, the doctor ordered a blood test to check the patient's drug levels. The results showed that the patient's blood levels of the antibiotic were very low. This was because the patient's liver was not able to metabolize the drug as well as a younger person's liver. I will explain basic pharmacokinetic processes, basic pharmacodynamics processes. Finally, I will explain personalized Plan of care.
Factors Influencing Pharmacokinetic and Pharmacodynamic Processes:
Age:
The age of the patient plays a significant role in pharmacokinetics and pharmacodynamics. As individuals age, physiological changes occur, such as a decrease in liver and kidney function. In this case, the patient's liver function might have been compromised, leading to a decreased ability to metabolize the antibiotic. Older adults also tend to have a higher percentage of body fat and a lower percentage of lean body mass, which affects drug distribution and elimination.
Gender:
Gender differences can influence drug response due to variations in body composition and hormonal factors. Women generally have a lower body weight compared to men, which can affect drug distribution. Hormonal fluctuations during the menstrual cycle can also influence drug metabolism and clearance. However, specific gender-related factors were not explicitly mentioned in the case.
Diet:
The patient's diet can impact drug absorption. For example, certain foods, like grapefruit juice, contain compounds that inhibit the activity of drug-metabolizing enzymes, leading to altered drug concentrations in the body. It is essential to assess the patient's dietary habits and provide guidance on potential drug-food interactions.
Pathophysiological Changes:
The patient's pneumonia might have influenced her liver and kidney function. Inflammation and infection can impair the liver's ability to metabolize drugs, resulting in altered drug levels. Similarly, kidney dysfunction can affect drug elimination, leading to increased drug concentrations in the body. It is crucial to consider the patient's underlying disease and its impact on drug metabolism and elimination (Balaram & Balachandran, 2022).
Personalized Plan of Care:
Therapeutic Drug Monitoring:
Regular monitoring of the patient's drug levels was crucial to ensure therapeutic efficacy and minimize adverse effects. In this case, the low blood levels of the initial antibiotic prompted a change in medication. Monitoring the blood levels of the new antibiotic will help determine if the dose is appropriate for the patient.
Dose Adjustment:
Considering the patient's age, gender, diet, and underlying disease, dosage adjustments may be necessary to optimize treatment outcomes. For example, a reduced dose might be warranted in older adults due to decreased drug metabolism and clearance. Individualized dosing regimens should be established to achieve optimal drug concentrations while minimizing the risk of toxicity (Isitan, & Hohler, 2017)
Patient Education:
Effective patient education is essential for medication adherence and safety. The patient should be educated about the importance of taking medications as prescribed, including the correct timing, dosage, and potential side effects. In this case, the patient should be informed about the need for regular blood tests and the rationale behind switching antibiotics.
Comprehensive Treatment of Underlying Health Conditions:
Collaborating with the patient's physician, a comprehensive plan should be developed to address the patient's pneumonia and any other underlying health conditions. This may involve additional therapies, such as respiratory treatments, chest physiotherapy, or supplemental oxygen, to improve the patient's overall health and response to treatment.( Parnham & Kricker, 2022).
Multidisciplinary Approach:
To ensure the best outcomes for the patient, a multidisciplinary approach involving healthcare professionals from various specialties, such as physicians, pharmacists, and nurses, should be employed. Collaboration between these professionals facilitates comprehensive patient assessment, individualized treatment plans, and ongoing monitoring of the patient's progress.
Conclusion:
In this discussion that feature a case of elderly with pneumonia who is taking antibiotics, several factors influenced the pharmacokinetic and pharmacodynamic processes, including age, gender, diet, and pathophysiological changes due to pneumonia. A personalized plan of care was developed, which included therapeutic drug monitoring, dose adjustments, patient education, and a comprehensive approach to treat the underlying health condition. By considering these influencing factors and tailoring the plan of care accordingly, healthcare professionals can optimize treatment outcomes and ensure the safety and well-being of elderly patients.
Reference:
Balaram, K., & Balachandran, S. (2022). Psychopharmacology in the Elderly: Why Does Age Matter?. Psychiatric Clinics.
Isitan, C, & Hohler, A. D. (2017). Cefepime induced neurotoxicity: A case series and
review of the literature. Eneurologicalsci8, 40-43. Retrieved from https://doiorg.ezp.waldenulibrary.org/10.1016/j.ensci.2017.08.001Links to an external site..
Le, J. (2019). Overview of pharmacokinetics. Merck Manual. Retrieved fromhttps://www.merckmanuals.com/professional/clinical-pharmacology/pharmacokinetics/overview-of-pharmacokinetic
Parnham, M. J., & Kricker, J. A. (2022). Factors determining plasticity of responses to drugs. International Journal of Molecular Sciences, 23(4), 2068.
Rosenthal, L. D., & Burchum, J. R. (2021). Lehne’s pharmacotherapeutics for advanced practice nurses and physician assistants (2nd ed.) St. Louis, MO: Elsevier.",Nursing,reply,discussion,
REPLY2M2,"nitial Post
Clinical Experience
Several years ago a flu shot clinic was being held for employees of the facility. It had been going on for several hours without any issues. If any issues did arise, the team would call for the non-patient rapid response team. In that case, the ER would respond. A RRT was called over head to the flu shot clinic. I responded and found a female patient lying on the floor in mild respiratory distress. She was anxious, diaphoretic, and stating like she felt like her throat was swelling, We quickly assessed her and did a set of vitals and felt it was safe to transport her to the ER down the hall. 
In the ER, the patient was placed on the cardiac monitor and vital signs were obtained. The provider ordered for an IV to be placed and medication given. Some of the meds first included Benadryl, Pepcid, and a steroid. IV fluids were started as well and the patient was placed on oxygen. After a short period, the patient symptoms had not improved. The provider ordered for epinephrine to be given. The patient was observed for some time after to make sure they did not rebound. 
Pharmacokinetics and Pharmacodynamics
Pharmacokinetics is the movement of drugs in the body. Pharmacodynamics is the affects of the drug on the body and mechanism of action ""Dose, indications, adverse effects, interactions... from PDR.net,"" n.d.). 
The influenza vaccine works by causing the body to produce its own antibodies against the virus. Several medications can interfere with the flu vaccine. In total, 268 medications can cause a severe reaction (""Influenza virus vaccine, inactivated interactions,"" n.d.).
A questionnaire should have been done prior to giving the vaccine. This is to make sure there has not been a previous reaction to the vaccine, eggs, or any ingredient to the vaccine. An anaphylaxis reaction would have to be caused by the virus or a component of the vaccine. 
Personalized Plan of Care
I'm not sure of the patient's prior health history before the event but I do know there was not a previous anaphylaxis event to a flu shot prior. The patient was being seen to rule out Lupus but no official diagnosis was given yet. As far as a plan, no further flu shots will be received. The patient should follow up with an allergist to see where the sensitivity lies. If any vaccine is approved, the patient should be pre-treated with Benadryl, Pepcid, and a Zyrtec prior to administration. 
References
Dose, indications, adverse effects, interactions... from PDR.net. (n.d.). PDR.Net. https://www.pdr.net/drug-summary/Fluvirin-influenza-virus-vaccineLinks to an external site.
Influenza virus vaccine, inactivated interactions. (n.d.). Drugs.com. https://www.drugs.com/drug-interactions/influenza-virus-vaccine-inactivated.htmlLinks to an external site.
Kinman, T. (n.d.). What are the side effects of a flu shot? Healthline. https://www.healthline.com/health/flu-shot-side-effectsLinks to an external site.
Reply",Nursing,reply,discussion,
Online education," 
Student collaboration and faculty involvement are considered best practices for online education. This week, we will discuss how to facilitate a collaborative learning environment. There are many ways to encourage collaboration in online courses other than discussions, including group projects, blogs, and synchronous group activities such as webinars/Zoom meetings.  Remember, this is not about discussions.  Think about other types of group/collaborative activities.


What do you think are the most important types of collaboration in an online class?
Is student to student interaction always necessary? Why or why not?  Explain your reasoning.
How important is faculty involvement in these activities and what should that look like?
Find an article on collaborative learning that would be of interest to your peers. Cite the source appropriately.
",Nursing,online,,
Ancient Mathematical Tool," 
Option 1: For your second paper should you choose this option, I want you to research an ancient mathematical tool. In your paper, I want you to answer the following questions:

When was the ancient tool developed?
How was the tool used?
Is this tool still in use today?
How is it being used today?
If it's not in use today, if it still existed, how would you use it today?
What benefits would be gained from its use? 
What modern tool/device would be its successor?

These are the questions that I would like for you to answer as you organize your thoughts about your ancient tool of choice.  For example, the abacus is an ancient tool that originated in the ancient country of Babylon that was used for various computations. In some countries, the abacus is still used today, & its beneficial are beyond measure, literally & figuratively.  It's successor instrument is the modern day digital calculator.
You can't use the abacus in your paper as an ancient tool of choice to write about. However, as you research your ancient tool of choice, & prepare your thought process, make sure you answer the above questions provided. Finally, make sure that your paper is at least 2 pages, or as close to 2 pages minimum as possible.",Mathematics,education,,
WEEK 9 DISCUSSION QUESTION," 

Evaluate the leadership of a leader in your organization, or prior organization, in terms of the seven habits of ethical leaders.
Determine one area in which this leader could improve upon, and suggest one action that this leader could take in order to do so. Note: Please do not identify workplaces or leaders by name.
",Human Resource Management,STRAYER,hr,
