I need help with home work,I need help with homework,RequiredReferencesforweek2topic2assignment.docx|PhonologicalandPhonemicAwarenessInstructions.docx|PhonologicalAwarenessTemplateforweektwoassignment.docx,RequiredReferencesforweek2topic2assignment.docx|PhonologicalandPhonemicAwarenessInstructions.docx|PhonologicalAwarenessTemplateforweektwoassignment.docx,"RequiredReferencesforweek2topic2assignment.docx
Required Refences:

Phonological Awareness and its Connection to Reading: Science of Reading

Required

Watch “Phonological Awareness and its Connection to Reading: Science of Reading,” by Side by Side Consulting, located on YouT
... Read More
https://youtu.be/OIesTCGsA3g

Basics: Phonological and Phonemic Awareness

Required

Explore “Basics: Phonological and Phonemic Awareness,"" located on the Reading Rockets website.
https://www.readingrockets.org/reading-101/reading-and-writing-basics/phonological-and-phonemic-awareness

What Is Scarborough’s Reading Rope and How Do Teachers Use It?

Required

Read ""What Is Scarborough’s Reading Rope and How do Teachers Use it?"" by Staake, located on the We Are Teachers website (2023).&nbs
... Read More
https://www.weareteachers.com/scarboroughs-rope/

44 Phonemes

Required

Watch “44 Phonemes,” by Rollins Center for Language, located on YouTube (2017).
https://youtu.be/wBuA589kfMg

The Development of Phonological Skills

Required

Read “The Development of Phonological Skills,” by Moats and Tolman, located on the Reading Rockets website.
https://www.readingrockets.org/topics/developmental-milestones/articles/development-phonological-skills

Phonemic Awareness vs. Phonics

Required

Read “Phonemic Awareness vs. Phonics,” from
             Institute for Multi-Sensory Education Journal (2019).
        
https://journal.imse.com/phonemic-awareness-vs-phonics/

Structured Literacy: Effective Instruction for Students with Dyslexia and Related Reading Difficulties

Required

Read “Structured Literacy: Effective Instruction for Students with Dyslexia and Related Reading Difficulties,” located 
... Read More
https://dyslexiaida.org/structured-literacy-effective-instruction-for-students-with-dyslexia-and-related-reading-difficulties/

Orton Gillingham Coaching: “Hearing-It” in Multi-Sensory. Using Phonemic Awareness in Lessons

Required

Watch “Orton Gillingham Coaching: “Hearing-It” in Multi-Sensory. Using Phonemic Awareness in Lessons,” located on
... Read More
https://youtu.be/TRzXYtf

PhonologicalandPhonemicAwarenessInstructions.docx
Requires Lopeswrite
Assessment Description
As a teacher of emergent readers, it is essential to understand the foundation of successful reading instruction. The science of reading tells us daily, explicit, and systematic instruction in phonological awareness is key to future reading achievement. Phonological awareness is the ability to identify and manipulate various units of sounds in speech, including syllables, onsets, and rhymes (DeVries, 2021). While phonemic awareness falls under the umbrella of phonological awareness its emphasis is primarily on the manipulation of individual sounds or phonemes. 

Part 1: Phonological and Phonemic Awareness Strategies Chart

Complete Part 1 of the “Phonological Awareness and Phonemic Template” by defining the importance of each phonological skill, identifying your state standards the skills align to, and identifying two strategies to support the teaching of each.

Part 2: Multisensory Integration

Complete Part 2 of the “Phonological Awareness and Phonemic Template” by choosing two skills from Part 1 and in 100-200 words describing how the instructional strategies include multisensory techniques or how they could be modified to include multisensory techniques. In addition, explain how multisensory techniques support the Science of Reading and discuss how implementing them into instruction supports students with exceptionalities, such as dyslexia.

Part 3: Technology Integration

Complete Part 3 of the “Phonological Awareness and Phonemic Template” by identifying and explaining in 100-150 words two technology tools that can be used to support and practice phonological awareness and phonemic awareness.
Support your assignment with a minimum of two scholarly resources.
While APA Style is not required for the body of this assignment, solid academic writing is expected, and documentation of sources should be presented using APA formatting guidelines, which can be found in the APA Style Guide, located in the Student Success Center.
This assignment uses a rubric. Review the rubric prior to beginning the assignment to become familiar with the expectations for successful completion.
You are required to submit this assignment to LopesWrite. A link to the LopesWrite technical support articles is located in Class Resources if you need assistance.


Rubric Criteria

expand all Rubric CriteriaExpand All

Phonological Awareness

18 points

Criteria Description

Phonological Awareness

5. Target

18 points
Definitions for word awareness, rhyming and alliteration, syllable awareness, and onset-rime manipulation are thorough. Explanation of the importance of each skill is insightful. Alignment to state standards is advanced. Strategies identified demonstrate best practices as they support each skill.

4. Acceptable

15.66 points
Definitions for word awareness, rhyming and alliteration, syllable awareness, and onset-rime manipulation are complete. Explanation of the importance of each skill is noteworthy. Alignment to state standards is accurate. Strategies identified appropriately support each skill.

No Submission

0 points
Not addressed.

Phonemic Awareness

18 points

Criteria Description

Phonemic Awareness

5. Target

18 points
Definitions for phoneme blending, segmentation, isolation, discrimination, deletion, and substitution are thorough. Explanation of the importance of each skill is insightful. Alignment to state standards is advanced. Strategies identified demonstrate best practices as they support each skill.

4. Acceptable

15.66 points
Definitions for phoneme blending, segmentation, isolation, discrimination, deletion, and substitution are complete. Explanation of the importance of each skill is noteworthy. Alignment to state standards is accurate. Strategies identified appropriately support each skill.

No Submission

0 points
Not addressed.

Multisensory Integration

6 points

Criteria Description

Multisensory Integration

5. Target

6 points
Description of how the instructional strategies include multisensory techniques or could be modified to include multisensory techniques is sophisticated. Meaningful explanation of how multisensory techniques support the science of reading and how implementing them into instruction supports students with exceptionalities, such as dyslexia.

4. Acceptable

5.22 points
Description of how the instructional strategies include multisensory techniques or could be modified to include multisensory techniques is sound. Significant explanation of how multisensory techniques support the science of reading and how implementing them into instruction supports students with exceptionalities, such as dyslexia.

No Submission

0 points
Not addressed.

Technology Integration

6 points

Criteria Description

Technology Integration

5. Target

6 points
Technology tools proficiently provide support and opportunities to practice phonological and phonemic awareness skills.

4. Acceptable

5.22 points
Technology tools effectively provide support and opportunities to practice phonological and phonemic awareness skills.

No Submission

0 points
Not addressed.

Mechanics of Writing

6 points

Criteria Description

Includes spelling, capitalization, punctuation, grammar, language use, sentence structure, etc.

5. Target

6 points
No mechanical errors are present. Skilled control of language choice and sentence structure are used throughout.

4. Acceptable

5.22 points
Few mechanical errors are present. Suitable language choice and sentence structure are used.

PhonologicalAwarenessTemplateforweektwoassignment.docx
ELM-545 Phonological and Phonemic Awareness Template



Part 1: Phonological and Phonemic Awareness Strategies Chart







Phonological Awareness 
(identifying and manipulating units of sound)









Define Skill and Explain the Importance 




Alignment to State Standards (K-3)




Strategy 1




Strategy 2







Word Awareness 


















Rhyming and Alliteration 


















Syllable Awareness


















Onset-Rime Manipulation


















Phonemic Awareness 
(identifying and manipulating individual sounds (phonemes) in a word)






Phoneme Blending


















Phoneme Segmentation


















Phoneme Isolation


















Phoneme Discrimination


















Phoneme Deletion


















Phoneme Substitution



















Part 2: Multisensory Integration 












Part 3: Technology Integration













References

© 2023. Grand Canyon University. All Rights Reserved.


image1.jpeg",Education,Apa,https://www.sweetstudy.com/questions/i-need-help-with-home-work-20888621
Discussion:   Anonymous. (2017). May smartphones... | Psychology,"  Anonymous. (2017). May smartphones help to maintain memory in patients with mild Alzheimer’s disease? Science News, March 1, 2017. This article discusses the success of using Google Calendar to maintain prospective memory in a patient with mild Alzheimer’s disease. Please answer each question with at least 3 sentences.

What strategy was used to help the patient with memory tasks?
What other potential benefits could be gained with smartphone technology to help Alzheimer’s patients with memory?
How do you use your smartphone/tablet/fitness monitoring device to help you with memory?

https://www.sciencedaily.com/releases/2017/03/170301105526.htm  ",,,,Psychology,Home|Work,https://www.sweetstudy.com/questions/discussion-20888623
s edwards:  Policy Issue and Solution Assignment ... | Education," Policy Issue and Solution Assignment 
feedback from literature review assignment:  Overall,  this submission met the criteria for the grade awarded. However, there  are some opportunities for improvement. See my rubric comments and  markup file attachment for errors. Be certain that the instructions and  rubric are well understood before beginning work. Review the proper  citation format (and rules) in the current APA Publication Manual or a  similar, reliable reference. Added review time and/or Online Writing  Center assistance is recommended. Errors aside, this was a readily  useful submission 

attached are the instructions for current assignment as well as the literature review
",edwardsshaquanna_MKUP1.docx|ResearchPaperAssignmentInstructions2.docx,link|link,,Education,Due|Asap,https://www.sweetstudy.com/questions/s-edwards-20888625
discussion2 :  | Government,,discussionmod2ins.docx,discussionmod2ins.docx,"discussionmod2ins.docx
Module 2: Discussion Forum


Review the reading materials and engage in the discussion topic of Media in Politics

· 
            How Social Media Is Ruining PoliticsLinks to an external site. 
        
· 
            Social Media Are Ruining Political DiscourseLinks to an external site.

After completing the background reading, engage in a discussion that provides your informed opinion on the topic. Make sure to include citations to your questions/responses to help your classmates develop a deeper understanding of the topic.

On the topic of Public Opinion and The Media - You must cover three of these questions in your 250 word original post.

1. Since the advent of polling, political scientists have found that Americans don’t know much about the details of political issues or even the names of many leading politicians. Education is one distinguishing factor that separates the politically sophisticated from the unsophisticated, but, since education levels have increased over the last half-century, why hasn’t Americans’ knowledge of politics increased? How does democracy survive given such low levels of political knowledge among Americans over time?
2. Can democracy be sustained when so few people are involved in the political system? Voter turnout in a local election can run less than 10 percent, yet local governments are the ones that affect people more closely daily. Why do more people not vote in America? Explain.
3. The role of public opinion influences how we view and make our political decision based on media, family, education, religion, race, etc. Please comment on any of those elements and how did it influence your political decision.
4. Can the average American trust the media, given the amount of ""fake news"" that is placed on social media, I often wonder if we have a fair chance to understand the candidates and the political process. I will love to hear your comments.",Government,Gov,https://www.sweetstudy.com/questions/discussion2-20888635
proofreading: proofread this piece of writing and... | Biology,proofread this piece of writing and make sure it passes turnitin reports,Microbiology.pdf,Microbiology.pdf,"Microbiology.pdf
1 









A Review of ""A Model System for Studying Plant–Microbe Interactions Under Snow"" 





NAME 

SCHOOL 

COURSE 

PROFESSOR 

DATE 









 




 2 

A Review of ""A Model System for Studying Plant–Microbe Interactions Under Snow"" 

Introduction 

Plants and microbes interact in ways that can impact agriculture, especially in places with 

long, snowy winters. The study ""A Model System for Studying Plant–Microbe Interactions 

Under Snow"" explores how the plant Arabidopsis thaliana responds to a snow mold fungus 

called Typhula ishikariensis under controlled snowy conditions (Kurokawa et al., 2021). This 

research is important because many crops, like wheat and rye, grow during the winter but often 

suffer from snow mold, leading to major losses in food production. Since farmers need better 

ways to protect their crops, scientists studied how plants defend themselves against this fungus in 

cold conditions. By understanding these defense mechanisms, researchers hope to develop 

stronger, more resistant crops that can survive harsh winters and improve food security (Smith & 

Jones, 2020). 

Hypothesis 

The researchers hypothesized that exposing plants to cold before winter, a process called 

cold acclimation would help them resist T. ishikariensis, the fungus that causes snow mold. They 

believed that cold temperatures would trigger specific defense responses in the plant, including 

activating genes that help fight off infections (Kurokawa et al., 2021). Their goal was to test 

whether plants that experienced cold temperatures beforehand would have a stronger defense 

against snow mold and to identify the genetic pathways responsible for this resistance. This 

hypothesis was based on previous research showing that plants undergo physical and molecular 




 3 

changes in response to cold, which might also improve their ability to fight off harmful microbes 

(Brown et al., 2019). 

Methods and Results 

The study’s results supported the researchers’ hypothesis, showing that A. thaliana plants 

that had gone through cold acclimation were better at resisting T. ishikariensis than those that 

had not. A detailed analysis of the plants’ genes showed that cold exposure activated defense-

related genes, helping the plant fight off snow mold infections (Kurokawa et al., 2021). To test 

this, the researchers used different methods, including creating controlled environments that 

mimicked snow cover, infecting plants with the pathogen, and analyzing gene activity. These 

experiments provided strong evidence that cold acclimation improves a plant’s ability to resist 

harmful microbes (Lee & White, 2018). 

Significance and Future Research 

This research is important beyond just understanding plant diseases. Learning how plants 

naturally defend themselves against snow mold in cold conditions could help scientists develop 

stronger crops through genetic modification or selective breeding. This could make crops more 

resistant to winter diseases, which is especially useful for farming in areas with harsh winters 

(Taylor et al., 2022). In the future, researchers should test if these findings apply to major food 

crops and explore other environmental factors that might affect how plants and pathogens 

interact under snow cover. 

 




 4 

Conclusion 

This study provides important insights into how plants defend themselves against snow 

mold in cold environments. The findings could help improve agriculture by offering ways to 

breed or modify crops to be more resistant to winter diseases. The research was well-organized, 

informative, and clearly explained, making it a useful resource for scientists studying plants, 

microbiology, and sustainable farming. Continuing to study how plants and pathogens interact in 

extreme conditions will be key to developing stronger crops and protecting food production as 

the climate changes. 



















 




 5 

References 

Brown, J., Smith, P., & Taylor, R. (2019). Cold stress and plant defense mechanisms. Journal of 

Plant Science, 45(3), 221-234. https://doi.org/xxxx 

Kurokawa, S., Mochida, K., Tomita, R., & Yoshida, K. (2021). A model system for studying 

plant–microbe interactions under snow. Frontiers in Plant Science, 12, 1-12. 

https://pmc.ncbi.nlm.nih.gov/articles/PMC8133538/ 

Lee, M., & White, C. (2018). Pathogenesis-related gene expression in response to environmental 

stress. Plant Biotechnology Journal, 16(2), 98-112. https://doi.org/xxxx 

Smith, A., & Jones, L. (2020). Snow mold disease and crop resistance. Agricultural Research 

Journal, 50(1), 30-45. https://doi.org/xxxx 

Taylor, K., Brown, C., & Wilson, H. (2022). Advances in plant breeding for winter resilience. 

Crop Science Today, 58(4), 310-325. https://doi.org/xxxx 

 



NAME
SCHOOL
COURSE
PROFESSOR
DATE
Introduction
Plants and microbes interact in ways that can impact agriculture, especially in places with long, snowy winters. The study ""A Model System for Studying Plant–Microbe Interactions Under Snow"" explores how the plant Arabidopsis thaliana responds to a sn...
Hypothesis
Methods and Results
The study’s results supported the researchers’ hypothesis, showing that A. thaliana plants that had gone through cold acclimation were better at resisting T. ishikariensis than those that had not. A detailed analysis of the plants’ genes showed that c...
Significance and Future Research
Conclusion
References",Biology,Homework|Help,https://www.sweetstudy.com/questions/proofreading-20888637
jameire:   The  final project for this class is... | Education," 
The  final project for this class is a multimedia presentation to the mayor  and city council of a city that is trying to entice a professional team  to move to their city (e.g., NFL, NBA, WNBA, NWSL, NHL, etc.). You are  the vice president of finance for a consulting firm that has been hired  by the mayor and city council to give them a detailed analysis of what  it would take to entice a team to move to their city. You are a member  of the five person team that will conduct the analysis and make a  presentation to the mayor and city council. Your responsibility is to  provide the financial analysis for the project which includes the  construction of a sports venue to accommodate the team.
For  this assignment you will develop the year one operating budget. You will  also complete a year one through five revenue and expense profit/loss  forecast both of which will become part of your final presentation.  Review the information on operating budgets and forecasting in your  resources. The numbers used in this assignment are to be a realistic  estimate based on your research of similar projects. Use a spreadsheet  application such as Excel for this assignment. Provide at least one  graph on both the budget and the forecast to help the mayor and city  council better understand the information that you are providing.
 
",,,,Education,Due|Asap,https://www.sweetstudy.com/questions/jameire-20888639
breezy: please see attachment | Education,please see attachment,Ericamusic.docx,Ericamusic.docx,"Ericamusic.docx
Use AI with caution. The university allows you to use AI for research, stimulating thought, correcting grammar, and a few other areas. See the 
            official policy here.
        

HOWEVER, if the Turnitin System yields an AI score above 75% you will need to rewrite the paper on your own OR submit substantial documentation attesting to your authorship of the paper. You cannot see your score unless we send the report to you, but you know if you used it to write your papers. 
        
NOTE, for these papers, 
            every reference must have a working URL that takes the instructor to the precise location for the document used. Failure to do this can be seen as plagiarism. If you have a physical book, you may need to take a picture to prove ownership of the work.
        


Description: 

Compare 2 compositions from different eras. In your comparison, you will touch upon two elements of music using relevant language and terminology as well as discuss where people attended concerts. 

Directions:

1. Choose 2 compositions from different eras. See the textbook for some choices or look up a performance. If you need suggestions for pieces to listen to, contact me. I can help guide you to some excellent performances. 





Renaissance Era




Baroque Era




Classical Era





Hildegard von Bingen
Giovanni Palestrina
Orlando de Lassus (aka Lasso)
William Byrd
Josquin des Prez
Kassia
Thomas Tallis
Giovanni Gabrielli
*****
Court music
Secular music
Sacred music
Troubador
Trouvère
Plainsong/Gregorian Chant
Motet
Church music (eg.introit, kyrie, gloria, etc.)


Johann Sebastian Bach
George Frideric Handel
Antonio Vivaldi
Claudio Monteverdi
Henry Purcell
Heinrich Schütz
Johann Pachelbel
*****
Counterpoint
Oratorio
Organ
Harpsichord


Wolfgang Amadeus Mozart
Joseph Haydn
Barbara Strozzi
Isabella Leonarda
Symphony
Opera
Piano
Clarinet
Violin
Cello
Flute
Sonata




2. Choose 2 elements of music to reflect on in your comparison. Here are some resources for 
            discussing the elements of music.

· Melody, Harmony, Rhythm, Timbre, Texture, Form
3.  Listen to the pieces (from #1) concentrating on the two elements of music (from #2).
4. After listening to the performances, write up the following: 
· 
            Introductory paragraph: Preview the main points that will be addressed in the paper. Be sure to include the names of the composers and titles of the compositions.
        
· 
            Define Elements: Define in your own words your choice of two of the following elements of music: melody, harmony, rhythm, timbre, texture, and form.
        
· 
            Compare Elements: Evaluate the similarities and differences of the two elements between the two compositions. In the evaluation expand on the definitions that you supplied. Use musical terminology and information from the course materials to express your ideas.
        
· 
            Concert Location: Discuss where people attended concerts during the Renaissance Era (1400-1600), the Baroque era (1600-1750 AD) and the Classical era (1750-1800 AD) using scholarly information to support your ideas.
        
· 
            Concluding paragraph: Wrap up the main points of the paper. Be sure to mention the composers and composition titles in the conclusion.
        


Submission Guidelines

This essay should be 750-1000 words in length. This assignment should reflect knowledge and understanding of the course materials. Points should be supported by specific information from scholarly sources and musical terminology should be used to express ideas. This essay should be written in paragraph form using complete sentences with a clear introduction and conclusion. Reference both concerts in the introduction and conclusion. 
            See note below about AI use in creating this paper.

In addition to these elements, fulfill the 
            Requirements for Writing Assignments, including citing all sources (including the concerts) both in the body of the text and on a reference page. 
        
Note that MLA is the standard citation style in the humanities. However, if your university major uses APA or you are more comfortable with it go ahead and use it.
Here are some good sources of information for 
            Evaluating Online Resources, 
            Citing Sources, and 
            Writing & Grammar Resources. The video links for the concerts should be cited in the body of the text and in your reference page.",Education,Need|Asap,https://www.sweetstudy.com/questions/breezy-20888647
Wk3_300: Need help with a question | Computer Science,Need help with a question,Wk3_300.docx,Wk3_300.docx,"Wk3_300.docx
Due 3/3/2025 by 5PM CST

In the labs from Weeks 1, 2, and 3, you conducted vulnerability scanning, connected remotely to a computer, and configured RAID, DNS, and DNSSEC. In addition, you disabled services, installed antivirus software, used a firewall, restored files, and used Event Viewer. These labs replicate system hardening tasks you may be asked to complete in a future career as an information security analyst.


Note: Ensure you have completed all lab exercises from Weeks 1, 2, and 3 before completing this assessment.
        
 

Assessment Details


Write a 350- to 700-word summary on your experience completing these labs. Include the following in your summary:
        

· Explain how the skills from these labs can be used to help prevent or address issues in a disaster recovery situation. Provide details about how the skills are used for hardening the IT system.
· Describe the importance of conducting vulnerability testing. Provide a scenario in which this practice is used.
· Explain why these tasks are important for cloud maintenance. Provide an example of when you would complete 1 specific task for cloud maintenance. 


Submit your assessment.",Computer Science,Good work|Quality work,https://www.sweetstudy.com/questions/wk3-300
question assigment:  | Education,,Module1BaselineSurveyandSyllabusReview.docx,Module1BaselineSurveyandSyllabusReview.docx,"Module1BaselineSurveyandSyllabusReview.docx
5






Baseline Survey and Syllabus Review



Student Name: Guzel Kalimullina
Institution Affiliation: Touro University
Course Code and Title: SEDN 602
Date: 3/1/2025
            



Baseline Survey and Syllabus Review


Baseline Survey:

1.‘What experience do you have teaching or working with people with disabilities? I do not have experience working with students with disabilities. I am working now as a teacher assistant in ICT a class environment where I  amworking with students who possess different learning needs, from autism spectrum disorder, ADHD, through to speech and language impairment. These experiences have helping me understand the importance of individualized instruction, tolerance, and the necessity of developing an atmosphere that is tolerant and welcoming to everyone.  I am very happy working now with these students am aware that there is always something to learn, especially in learning new strategies and legal frameworks to further assist students with disabilities.

2.What questions do you have about teaching students with disabilities that you hope this course will address?
There are several questions that I hope will be covered in this course. Firstly, I am interested in understanding more about using high-leverage instructional practices effectively to support students with different needs. I am also keen on exploring how we can effectively implement assistive technology within the classroom for enhanced learning. A second area of interest is the process of creating culturally responsive individualized education programs (IEPs) from a student's strengths and areas of need. Last, I have a desire to know about best practices in collaborating with families and other educators in order to give students with disabilities the assistance they require to be effective in academic and social settings
3.What should I know to better support you this semester?
In a bid to further help me during this semester, I appreciate instructions and well-structured deadlines so that I can effectively manage my work load. 


Syllabus Review:

1. 
            You will need to submit all assignments online. What are two backup plans if your primary device is not working or your internet goes down?

· Plan A: Use a public library or campus computer lab to access Canvas and submit assignments.
· Plan B: Utilize a backup device, such as a tablet or smartphone, to complete and upload assignments if my primary device fails.
2. 
            What format style is all of your work to follow? Insert a link to an online resource for this formatting style.

· All work must follow 
            APA format. A useful resource for APA guidelines is the Purdue Online Writing Lab (OWL): https://owl.purdue.edu/owl/research_and_citation/apa_style/apa_style_introduction.html
        
3. 
            Instructions for completing your Journal Entries can be found on p. ____ of the syllabus.

· Instructions for completing Journal Entries can be found on 
            page 6 of the syllabus.
        
4. 
            The Midterm is due on _____________.

· The Midterm is due on 
            March 19, 2025.
        
5. 
            The Final is due on _____________.

· The Final is due on 
            May 7, 2025.
        
6. 
            Most late work will be accepted for up to ____ week after the original due date with a _____% deduction to your grade.

· Most late work will be accepted for up to 
            one (1) week after the original due date with a 
            10% deduction to the grade.
        
7. 
            Exception to the late work policy: No late work will be accepted for Module ___ for any reason. Please do not wait until the last evening to submit work for this Module.

· No late work will be accepted for 
            Module 12 for any reason.
        
8. 
            Is it okay to submit links to Google Docs, YouTube, etc. for your assessments?

· 
            No, it is not acceptable to submit links to Google Docs, YouTube, etc., for assessments. All work must be uploaded directly to Canvas in an appropriate file format (e.g., .doc, .docx, or .pdf).’",Education,Solution,https://www.sweetstudy.com/questions/question-assigment-20888651
financial projections chart ,please see attachment use the financial projections included to complete chart. need by 7am tomorrow 3/3,RE.1doggroomingsalonfp.docx,RE.1doggroomingsalonfp.docx,"RE.1doggroomingsalonfp.docx
Year 2025:  
        















Year 2026: 






Key Assumptions
INSTRUCTIONS: Describe how you came up with the values in your financial forecast. Did you project your revenue based on past results, market research, your best guess at how many people who visit your store and what percentage of them might buy, or some other method? What kind of growth are you assuming? What are your key hires and notable expenses? What level of profit do you expect to generate?
Revenue by Month
INSTRUCTIONS: Include a chart that shows your projected revenue.  

Expenses by Month	
INSTRUCTIONS: Include a chart that shows your projected expenses. 
Net Profit (or Loss) by Year
INSTRUCTIONS: Include a chart that shows your projected expenses. 







Statements


Projected Profit & Loss
INSTRUCTIONS: Provide a summary of your financial forecast here. 








FY2018


FY2019


FY2020




Revenue



























Direct Costs



























Gross Margin













Gross Margin %













Operating Expenses













Salary













Employee Related Expenses













Total Operating Expenses



























Operating Income



























Interest Incurred













Depreciation and Amortization













Income Taxes













Total Expenses













Net Profit













Net Profit / Sales
















image1.png


image2.png",Accounting,Business|Finance,https://www.sweetstudy.com/questions/financial-projections-chart-20888659
